F. Ruckselshausen;Eppstein;Germany;50.14529599999999, 8.3881459;Y;;;1;Y;Y;N
Fikentscher;Marktredewitz;Germany;50.0035483, 12.0899816;Y;;;2;Y;Y;N
Kroon & Co;Amsterdam;Netherlands;52.3675734, 4.9041389;N.I.;;;1;N.I.;N.I.;N
Otto Baer;Dresden;Germany;51.0504088, 13.7372621;Y;;;1;N;N;N
Ten Hoorn;Maastricht;Netherlands;50.8513682, 5.6909725;Y;;;1;N;N;N
H. Husolf;Bussum;Netherlands;52.2737893, 5.1663871;N.I.;;;1;N.I.;N.I.;N
Chr. Zeegers;Rotterdam;Netherlands;51.9244201, 4.4777326;Y;;;1;N;N;N
N.V. Defa;Arnhem;Netherlands;51.9851034, 5.898729599999999;N ;;;3;Y;Y;Y
Curt Balke;Dresden;Germany;51.0504088, 13.7372621;N.I.;;;1;N.I.;N.I.;N
Franken Donders;Tilburg;Netherlands;51.58525280000001, 5.056375;Y;;;1;Y;Y;N
William Bros;Hounslow;United Kingdom;51.46092179999999, -0.373149;Y;;;2;Y;Y;Y
Gesellschaft für chemische Industrie;Basel;Switserland;47.5595986, 7.5885761;Y;;;2;Y;Y;Y
Ned. Verf & Chem. Fabr.;Delft;Netherlands;52.01157689999999, 4.3570677;Y;;;2;Y;Y;Y
Geigy;Basel;Switserland;47.5595986, 7.5885761;Y;;;1;Y;Y;N
Matieres Colour & Prod. ;St. Denis;France;48.936181, 2.357443;Y;;;1;Y;Y;N
Alliance colour & chem;Manchester;United Kingdom;53.4807593, -2.2426305;Y;;;1;Y;Y;N
